Frame,DroneE,DroneN,RGVE,RGVN
98,-2.3058590178266587,-1.7770038027427366,0,0
99,-2.3058590178266587,-1.7770038027427366,0,0
100,-2.3058590178266587,-1.7770038027427366,0,0
101,-2.3912612053724276,-1.7770037760984136,0,0
102,-2.3912612053724276,-1.7770037760984136,0,0
103,-2.3912612053724276,-1.7770037760984136,0,0
104,-2.5620655764609497,-1.7770037208671718,0,0
105,-2.5620655764609497,-1.7770037208671718,0,0
106,-2.5620655764609497,-1.7770037208671718,0,0
107,-2.6474678002531227,-1.888066450590617,0,0
108,-2.6474678002531227,-1.888066450590617,0,0
109,-2.6474678002531227,-1.888066450590617,0,0
110,-2.7328700277204563,-1.9991291799022033,0,0
111,-2.7328700277204563,-1.9991291799022033,0,0
112,-2.7328700277204563,-1.9991291799022033,0,0
113,-2.9036744049328895,-1.9991291170554029,0,0
114,-2.9036744049328895,-1.9991291170554029,0,0
115,-2.9036744049328895,-1.9991291170554029,0,0
116,-2.989076636380969,-2.1101918420995824,0,0
117,-2.989076636380969,-2.1101918420995824,0,0
118,-2.989076636380969,-2.1101918420995824,0,0
119,-3.0744788710346955,-2.2212545683402354,0,0
120,-3.0744788710346955,-2.2212545683402354,0,0
121,-3.0744788710346955,-2.2212545683402354,0,0
122,-3.1598811070969623,-2.332317292252527,0,0
123,-3.1598811070969623,-2.332317292252527,0,0
124,-3.1598811070969623,-2.332317292252527,0,0
125,-3.330685492331599,-2.3323172190197208,0,0
126,-3.330685492331599,-2.3323172190197208,0,0
127,-3.330685492331599,-2.3323172190197208,0,0
128,-3.4160876845299954,-2.3323171813990027,0,0
129,-3.4160876845299954,-2.3323171813990027,0,0
130,-3.4160876845299954,-2.3323171813990027,0,0
131,-3.586892120711678,-2.4433798621732032,0,0
132,-3.586892120711678,-2.4433798621732032,0,0
133,-3.586892120711678,-2.4433798621732032,0,0
134,-3.6722943667369443,-2.554442581375278,0,0
135,-3.6722943667369443,-2.554442581375278,0,0
136,-3.6722943667369443,-2.554442581375278,0,0
137,-3.8430987568690846,-2.554442496588372,0,0
138,-3.8430987568690846,-2.554442496588372,0,0
139,-3.8430987568690846,-2.554442496588372,0,0
140,-3.9285010089170784,-2.665505211616872,0,0
141,-3.9285010089170784,-2.665505211616872,0,0
142,-3.9285010089170784,-2.665505211616872,0,0
143,-4.099305400354542,-2.665505121473184,0,0
144,-4.099305400354542,-2.665505121473184,0,0
145,-4.099305400354542,-2.665505121473184,0,0
146,-4.184707656363045,-2.776567833921329,0,0
147,-4.184707656363045,-2.776567833921329,0,0
148,-4.184707656363045,-2.776567833921329,0,0
149,-4.270109854970704,-2.7765677868732186,0,0
150,-4.270109854970704,-2.7765677868732186,0,0
151,-4.270109854970704,-2.7765677868732186,0,0
152,-4.440914313383446,-2.887630448515671,0,0
153,-4.440914313383446,-2.887630448515671,0,0
154,-4.440914313383446,-2.887630448515671,0,0
155,-4.526316577027619,-2.9986931569016146,0,0
156,-4.526316577027619,-2.9986931569016146,0,0
157,-4.526316577027619,-2.9986931569016146,0,0
158,-4.611718776900127,-2.9986931057308506,0,0
159,-4.611718776900127,-2.9986931057308506,0,0
160,-4.611718776900127,-2.9986931057308506,0,0
161,-4.697121044525046,-3.1097558116326995,0,0
162,-4.697121044525046,-3.1097558116326995,0,0
163,-4.697121044525046,-3.1097558116326995,0,0
164,-4.7825232467248835,-3.1097557583872715,0,0
165,-4.7825232467248835,-3.1097557583872715,0,0
166,-4.7825232467248835,-3.1097557583872715,0,0
167,-4.8679255177598515,-3.2208184640020434,0,0
168,-4.8679255177598515,-3.2208184640020434,0,0
169,-4.8679255177598515,-3.2208184640020434,0,0
170,-4.953327720245038,-3.2208184089447816,0,0
171,-4.953327720245038,-3.2208184089447816,0,0
172,-4.953327720245038,-3.2208184089447816,0,0
173,-5.038729995280988,-3.331881111815057,0,0
174,-5.038729995280988,-3.331881111815057,0,0
175,-5.038729995280988,-3.331881111815057,0,0
176,-5.124132198500801,-3.33188105502468,0,0
177,-5.124132198500801,-3.33188105502468,0,0
178,-5.124132198500801,-3.33188105502468,0,0
179,-5.209534402435001,-3.331880997118253,0,0
180,-5.209534402435001,-3.331880997118253,0,0
181,-5.209534402435001,-3.331880997118253,0,0
182,-5.209534478335103,-3.4429437555399183,0,0
183,-5.209534478335103,-3.4429437555399183,0,0
184,-5.209534478335103,-3.4429437555399183,0,0
185,-5.294936683208331,-3.4429436965567994,0,0
186,-5.294936683208331,-3.4429436965567994,0,0
187,-5.294936683208331,-3.4429436965567994,0,0
188,-5.380338887448118,-3.4429436362214743,0,0
189,-5.380338887448118,-3.4429436362214743,0,0
190,-5.380338887448118,-3.4429436362214743,0,0
191,-5.465741171692206,-3.554006335305063,0,0
192,-5.465741171692206,-3.554006335305063,0,0
193,-5.465741171692206,-3.554006335305063,0,0
194,-5.551143376666618,-3.554006273236623,0,0
195,-5.551143376666618,-3.554006273236623,0,0
196,-5.551143376666618,-3.554006273236623,0,0
197,-5.636545583029334,-3.5540062101702095,0,0
198,-5.636545583029334,-3.5540062101702095,0,0
199,-5.636545583029334,-3.5540062101702095,0,0
200,-5.721947873500551,-3.6650689057366472,0,0
201,-5.721947873500551,-3.6650689057366472,0,0
202,-5.721947873500551,-3.6650689057366472,0,0
203,-5.807350080148615,-3.6650688408584005,0,0
204,-5.807350080148615,-3.6650688408584005,0,0
205,-5.807350080148615,-3.6650688408584005,0,0
206,-5.892752373232511,-3.7761315336083277,0,0
207,-5.892752373232511,-3.7761315336083277,0,0
208,-5.892752373232511,-3.7761315336083277,0,0
209,-5.97815458083984,-3.7761314670363246,0,0
210,-5.97815458083984,-3.7761314670363246,0,0
211,-5.97815458083984,-3.7761314670363246,0,0
212,-6.063556789610834,-3.7761313994269905,0,0
213,-6.063556789610834,-3.7761313994269905,0,0
214,-6.063556789610834,-3.7761313994269905,0,0
215,-6.148959086859641,-3.88719409096631,0,0
216,-6.148959086859641,-3.88719409096631,0,0
217,-6.148959086859641,-3.88719409096631,0,0
218,-6.148959086859641,-3.88719409096631,0,0
219,-6.148959086859641,-3.88719409096631,0,0
220,-6.148959086859641,-3.88719409096631,0,0
221,-6.234361388947274,-3.998256779986452,0,0
222,-6.234361388947274,-3.998256779986452,0,0
223,-6.234361388947274,-3.998256779986452,0,0
224,-6.319763598718005,-3.9982567094492327,0,0
225,-6.319763598718005,-3.9982567094492327,0,0
226,-6.319763598718005,-3.9982567094492327,0,0
227,-6.405165903562008,-4.109319397803818,0,0
228,-6.405165903562008,-4.109319397803818,0,0
229,-6.405165903562008,-4.109319397803818,0,0
230,-6.490568209405748,-4.220382084300505,0,0
231,-6.490568209405748,-4.220382084300505,0,0
232,-6.490568209405748,-4.220382084300505,0,0
233,-6.575970423116752,-4.220382010730008,0,0
234,-6.575970423116752,-4.220382010730008,0,0
235,-6.575970423116752,-4.220382010730008,0,0
236,-6.6613727340441935,-4.331444694486475,0,0
237,-6.6613727340441935,-4.331444694486475,0,0
238,-6.6613727340441935,-4.331444694486475,0,0
239,-6.746775047238255,-4.442507379446119,0,0
240,-6.746775047238255,-4.442507379446119,0,0
241,-6.746775047238255,-4.442507379446119,0,0
242,-6.832177261928759,-4.442507303564802,0,0
